country,percentage,
Afghanistan,10.1987,2016
Albania,6.6979,2016
Algeria,6.6485,2016
Andorra,10.3677,2016
Angola,2.8778,2016
Antigua and Barbuda,4.309,2016
Argentina,7.5484,2016
Armenia,9.9273,2016
Australia,9.2521,2016
Austria,10.4376,2016
Azerbaijan,6.8906,2016
Bahamas,6.3754,2016
Bahrain,4.8695,2016
Bangladesh,2.3651,2016
Barbados,6.9624,2016
Belarus,6.3168,2016
Belgium,10.0384,2016
Belize,6.1214,2016
Benin,3.8556,2016
Bhutan,3.4542,2016
Bolivia (Plurin. State of),6.8606,2016
Bosnia and Herzegovina,9.2296,2016
Botswana,5.4632,2016
Brazil,11.7715,2016
Brunei Darussalam,2.341,2016
Bulgaria,8.2301,2016
Burkina Faso,6.7525,2016
Burundi,7.6893,2016
Cabo Verde,5.2635,2016
Cambodia,6.082,2016
Cameroon,4.6902,2016
Canada,10.5347,2016
Central African Republic,4.2825,2016
Chad,4.5381,2016
Chile,8.5289,2016
China,4.9819,2016
Colombia,5.9123,2016
Comoros,7.6311,2016
Congo,4.6348,2016
Cook Islands,3.4484,2016
Costa Rica,7.5557,2016
Côte d’Ivoire,4.4036,2016
Croatia,7.1801,2016
Cuba,12.1912,2016
Cyprus,6.8797,2016
Czechia,7.1496,2016
Dem. Rep. of the Congo,3.8712,2016
Denmark,10.35,2016
Djibouti,3.5019,2016
Dominica,5.3039,2016
Dominican Republic,6.1613,2016
Ecuador,8.3871,2016
Egypt,4.6378,2016
El Salvador,6.9578,2016
Equatorial Guinea,3.3765,2016
Eritrea,2.9593,2016
Estonia,6.6837,2016
Eswatini,7.6969,2016
Ethiopia,3.974,2016
Fiji,3.4615,2016
Finland,9.4931,2016
France,11.5393,2016
Gabon,3.1129,2016
Gambia,4.4315,2016
Georgia,8.4361,2016
Germany,11.1392,2016
Ghana,4.4487,2016
Greece,8.4543,2016
Grenada,5.2467,2016
Guatemala,5.8203,2016
Guinea,5.4783,2016
Guinea-Bissau,6.0901,2016
Guyana,4.2433,2016
Haiti,5.3857,2016
Honduras,8.402,2016
Hungary,7.3648,2016
Iceland,8.2915,2016
India,3.6212,2016
Indonesia,3.1245,2016
Iran (Islamic Republic of),8.1028,2016
Iraq,3.3122,2016
Ireland,7.3783,2016
Israel,7.3144,2016
Italy,8.9355,2016
Jamaica,6.0724,2016
Japan,10.9261,2016
Jordan,5.4682,2016
Kazakhstan,3.5261,2016
Kenya,4.5496,2016
Kiribati,11.8599,2016
Kuwait,3.9039,2016
Kyrgyzstan,6.6253,2016
Lao People's Dem. Rep.,2.3609,2016
Latvia,6.2429,2016
Lebanon,8.0167,2016
Lesotho,8.0766,2016
Liberia,9.6151,2016
Lithuania,6.6716,2016
Luxembourg,6.1638,2016
Madagascar,6.0036,2016
Malawi,9.8303,2016
Malaysia,3.8022,2016
Maldives,10.6108,2016
Mali,3.8196,2016
Malta,9.2953,2016
Marshall Islands,23.2873,2016
Mauritania,4.241,2016
Mauritius,5.7457,2016
Mexico,5.469,2016
Micronesia (Fed. States of),12.563,2016
Monaco,1.7499,2016
Mongolia,3.809,2016
Morocco,5.8377,2016
Mozambique,5.0662,2016
Myanmar,5.0878,2016
Namibia,9.1225,2016
Nauru,11.1019,2016
Nepal,6.2944,2016
Netherlands,10.3593,2016
New Zealand,9.2219,2016
Nicaragua,8.7464,2016
Niger,6.2289,2016
Nigeria,3.6467,2016
Niue,7.2629,2016
North Macedonia,6.3441,2016
Norway,10.5006,2016
Oman,4.2925,2016
Pakistan,2.7528,2016
Palau,11.6876,2016
Panama,7.2607,2016
Papua New Guinea,1.9758,2016
Paraguay,8.0249,2016
Peru,5.1439,2016
Philippines,4.3859,2016
Poland,6.5165,2016
Portugal,9.0764,2016
Qatar,3.0794,2016
Republic of Korea,7.3375,2016
Republic of Moldova,8.981,2016
Romania,4.9804,2016
Russian Federation,5.2711,2016
Rwanda,6.7607,2016
Saint Kitts and Nevis,5.6718,2016
Saint Lucia,5.3066,2016
Saint Vincent & Grenadines,3.5629,2016
Samoa,5.5321,2016
San Marino,6.3956,2016
Sao Tome and Principe,5.992,2016
Saudi Arabia,5.7418,2016
Senegal,5.6005,2016
Serbia,9.135,2016
Seychelles,3.9361,2016
Sierra Leone,16.5317,2016
Singapore,4.4696,2016
Slovakia,7.1251,2016
Slovenia,8.4683,2016
Solomon Islands,5.1707,2016
South Africa,8.1098,2016
Spain,8.9704,2016
Sri Lanka,3.8932,2016
Sudan,5.6649,2016
Suriname,6.0642,2016
Sweden,10.9348,2016
Switzerland,12.2476,2016
Tajikistan,6.9985,2016
Thailand,3.7114,2016
Timor-Leste,4.0206,2016
Togo,6.6157,2016
Tonga,5.2639,2016
Trinidad and Tobago,6.5104,2016
Tunisia,6.952,2016
Turkey,4.3143,2016
Turkmenistan,6.618,2016
Tuvalu,15.454,2016
Uganda,6.165,2016
Ukraine,6.727,2016
United Arab Emirates,3.5168,2016
United Kingdom,9.7623,2016
United Rep. of Tanzania,4.1399,2016
United States of America,17.0734,2016
Uruguay,9.0608,2016
Uzbekistan,6.3352,2016
Vanuatu,3.6918,2016
Venezuela (Boliv. Rep. of),3.2171,2016
Viet Nam,5.6592,2016
Zambia,4.4772,2016
Zimbabwe,9.4137,2016
